ticker,week,job_count,skill_ai_ml_share,skill_cloud_share,skill_legacy_share,skill_digital_share,skill_data_share,skill_security_share,senior_share,junior_share,seniority_score,volume_zscore,skill_ai_ml_velocity,skill_cloud_velocity,skill_legacy_velocity,skill_digital_velocity,skill_data_velocity,skill_security_velocity,trends_raw,trends_zscore,trends_velocity,trends_spike,fwd_excess_7d,fwd_excess_14d,label,pred_prob,pred_label,train_rows,decile
BSOFT.NS,2026-05-18,15,0.0666666666622222,0.1999999999866666,0.0,0.3333333333111111,0.1333333333244444,0.1333333333244444,0.5333333332977778,0.0,0.5333333332977778,0.7071067811032142,0.0666666666622222,0.1999999999866666,-0.3333333332222222,-0.3333333331333333,0.1333333333244444,0.1333333333244444,,,,,0.0415473328776323,,1,0.9295917020044095,1,10,High
CYIENT.NS,2026-05-18,42,0.0238095238089569,0.2380952380895691,0.0,0.1904761904716553,0.0476190476179138,0.0238095238089569,0.285714285707483,0.0,0.285714285707483,1.1483906520781917,0.0238095238089569,0.2380952380895691,0.0,0.1904761904716553,-0.134199134183739,0.0238095238089569,,,,,0.0286294681717249,,1,0.8711249078059005,1,10,High
HAPPSTMNDS.NS,2026-05-18,12,0.0833333333263888,0.3333333333055555,0.0,0.3333333333055555,0.0,0.2499999999791666,0.8333333332638889,0.0,0.8333333332638889,0.7071067809365474,-0.1666666666423611,0.2083333333211805,0.0,0.3333333333055555,-0.124999999984375,0.1249999999947916,,,,,0.0385967370144042,,1,0.5973513077742587,1,10,High
INTELLECT.NS,2026-05-18,39,0.0,0.0256410256403681,0.0512820512807363,0.0,0.0,0.0769230769211045,0.2051282051229454,0.1025641025614727,0.1025641025614727,1.150792911074438,0.0,-0.3076923076374095,0.0512820512807363,-0.1666666666388888,0.0,0.0769230769211045,13.0,-0.8853605865919468,3.0,0.0,0.0092108118060507,,0,0.006355430822269499,0,10,Low
KPITTECH.NS,2026-05-18,4,0.0,0.0,0.0,0.0,0.2499999999375,0.2499999999375,0.2499999999375,0.0,0.2499999999375,-0.7071067811240475,-0.0499999999975,-0.099999999995,0.0,-0.299999999985,-5.000000413701855e-11,0.2499999999375,,,,,0.0722908520677565,,1,0.0356962733193177,0,10,Mid
LTTS.NS,2026-05-18,19,0.0526315789445983,0.0526315789445983,0.3684210526121884,0.0,0.0526315789445983,0.0526315789445983,0.63157894733518,0.0,0.63157894733518,0.7071067810615475,-0.0382775119562281,-0.0382775119562281,0.2775119617113619,0.0,0.0526315789445983,0.0526315789445983,20.0,-1.0240294354281234,-4.0,0.0,-0.0234271144848988,,0,0.020189234495900668,0,10,Mid
MASTEK.NS,2026-05-18,9,0.0,0.1111111110987654,0.0,0.2222222221975308,0.3333333332962963,0.0,0.1111111110987654,0.0,0.1111111110987654,-0.3886228290765157,0.0,-0.2888888888212346,0.0,0.2222222221975308,0.1333333333362962,-0.19999999996,,,,,0.0335969515338709,,1,0.02259057460205509,0,10,Mid
MPHASIS.NS,2026-05-18,24,0.0833333333298611,0.1666666666597222,0.0,0.0416666666649305,0.0833333333298611,0.0416666666649305,0.1249999999947916,0.0416666666649305,0.0833333333298611,0.9271726498227236,0.0833333333298611,0.0555555555609567,0.0,0.0416666666649305,-0.0277777777689043,0.0416666666649305,,,,,0.0210759874903543,,1,0.41714591893723163,0,10,Mid
OFSS.NS,2026-05-18,9,0.0,0.5555555554938272,0.2222222221975308,0.0,0.3333333332962963,0.0,0.0,0.0,0.0,-0.6171300770308671,0.0,0.3555555555138271,0.2222222221975308,0.0,0.0333333333262962,0.0,,,,,0.0764944117091876,,1,0.6194322395347193,1,10,High
SONATSOFTW.NS,2026-05-18,16,0.0,0.3124999999804687,0.0624999999960937,0.0624999999960937,0.0624999999960937,0.0624999999960937,0.3749999999765625,0.0,0.3749999999765625,-0.6575959491133211,-0.0588235294083045,-0.0404411764693582,0.0036764705877892,-0.0551470588205152,-0.1727941176371242,0.0036764705877892,,,,,0.0041047471585882,,0,0.002031529662021149,0,10,Low
TATAELXSI.NS,2026-05-18,18,0.1666666666574074,0.2777777777623457,0.0,0.1111111111049382,0.1666666666574074,0.0,0.1666666666574074,0.0,0.1666666666574074,-0.3202563075794049,0.0128205128230878,0.0470085470108664,0.0,0.1111111111049382,-0.0641025640940718,0.0,,,,,0.0242999351614694,,1,0.011269842784108742,0,10,Low
TCS.NS,2026-05-18,28,0.1071428571390306,0.4999999999821428,0.1071428571390306,0.1071428571390306,0.4285714285561224,0.0,0.2142857142780612,0.0,0.2142857142780612,0.9999999998333332,0.1071428571390306,0.0454545454573494,0.0162337662340719,0.0162337662340719,-0.1623376623261089,0.0,18.0,-1.1308266965178064,-6.0,0.0,-0.0042041864599109,,0,0.003065892060874858,0,10,Low
TECHM.NS,2026-05-18,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1796053019945168,0.0,0.0,0.0,0.0,0.0,-0.09999999999,,,,,-0.0003051070788526,,0,0.013639792401971414,0,10,Low
WIPRO.NS,2026-05-18,26,0.0769230769201183,0.4999999999807692,0.0384615384600591,0.1153846153801775,0.0384615384600591,0.0,0.1153846153801775,0.0,0.1153846153801775,0.7071067811389286,-0.1230769230398816,0.4999999999807692,0.0384615384600591,0.1153846153801775,0.0384615384600591,0.0,,,,,0.0307598920302645,,1,0.4252905050468222,0,10,Mid
ZENSARTECH.NS,2026-05-18,25,0.1199999999952,0.2799999999888,0.0799999999968,0.0399999999984,0.0799999999968,0.0799999999968,0.1599999999936,0.0,0.1599999999936,1.1526465184624473,0.0290909090943735,0.0981818181871471,0.0799999999968,-0.0509090909024264,-0.0109090909040264,0.0799999999968,,,,,-0.0078216088995033,,0,0.8112205820602519,1,10,High
